	Cond	Cond1	Treat	Concat
TS1_1	H	Ctl	CTL	HCTL
TS1_2	H	Ctl	CTL	HCTL
TS1_3	H	Ctl	CTL	HCTL
TS1_4	H	Ctl	CTL	HCTL
TS2_1	H	Treat	nS	HnS
TS2_2	H	Treat	nS	HnS
TS2_3	H	Treat	nS	HnS
TS2_4	H	Treat	nS	HnS
TS3_1	H	Treat	cS	HcS
TS3_2	H	Treat	cS	HcS
TS3_3	H	Treat	cS	HcS
TS3_4	H	Treat	cS	HcS
TS4_1	H	Treat	bS	HbS
TS4_2	H	Treat	bS	HbS
TS4_3	H	Treat	bS	HbS
TS4_4	H	Treat	bS	HbS
TS5_1	F	Ctl	CTL	FCTL
TS5_2	F	Ctl	CTL	FCTL
TS5_3	F	Ctl	CTL	FCTL
TS5_4	F	Ctl	CTL	FCTL
TS5_5	F	Ctl	CTL	FCTL
TS6_1	F	Treat	nS	FnS
TS6_2	F	Treat	nS	FnS
TS6_3	F	Treat	nS	FnS
TS6_4	F	Treat	nS	FnS
TS6_5	F	Treat	nS	FnS
TS7_1	F	Treat	cS	FcS
TS7_2	F	Treat	cS	FcS
TS7_3	F	Treat	cS	FcS
TS7_4	F	Treat	cS	FcS
TS7_5	F	Treat	cS	FcS
TS8_1	F	Treat	bS	FbS
TS8_2	F	Treat	bS	FbS
TS8_3	F	Treat	bS	FbS
TS8_4	F	Treat	bS	FbS
TS8_5	F	Treat	bS	FbS
negative	none	none	none	none
