	Domain	Supergroup	Kingdom	Phylum	Order	Class	Family	Genus
ASV01328	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV02204	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV02470	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV03339	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV03398	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV05241	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV05766	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV06586	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV07947	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV08409	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV08705	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV10795	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
ASV11064	Eukaryota	Alveolata	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified	Alveolata_unclassified
