	Cond	Cond1	Treat	Concat	Value
TS1_1	H	Ctl	CTL	HCTL	-0.003102571610193
TS1_2	H	Ctl	CTL	HCTL	-0.003659439050249
TS1_3	H	Ctl	CTL	HCTL	-0.001660950229605
TS1_4	H	Ctl	CTL	HCTL	-0.002910106358993
TS2_1	H	Treat	nS	HnS	-0.003527601137792
TS2_2	H	Treat	nS	HnS	-0.002452432098748
TS2_3	H	Treat	nS	HnS	-0.003815015009752
TS2_4	H	Treat	nS	HnS	-0.002849653365735
TS3_1	H	Treat	cS	HcS	-0.000615693792726
TS3_2	H	Treat	cS	HcS	-0.003295094459625
TS3_3	H	Treat	cS	HcS	-0.002320110435401
TS3_4	H	Treat	cS	HcS	-0.000836369808418
TS4_1	H	Treat	bS	HbS	-0.007464341642174
TS4_2	H	Treat	bS	HbS	0.004076199655995
TS4_3	H	Treat	bS	HbS	0.000905921512252
TS4_4	H	Treat	bS	HbS	-0.000872361571293
TS5_1	F	Ctl	CTL	FCTL	-0.001377066806387
TS5_2	F	Ctl	CTL	FCTL	-0.000766363447536
TS5_3	F	Ctl	CTL	FCTL	-0.002843408802889
TS5_4	F	Ctl	CTL	FCTL	-0.003117828888968
TS5_5	F	Ctl	CTL	FCTL	-0.001399577729167
TS6_1	F	Treat	nS	FnS	-0.001280516458479
TS6_2	F	Treat	nS	FnS	-0.00129962232851
TS6_3	F	Treat	nS	FnS	-0.00168002981829
TS6_4	F	Treat	nS	FnS	-0.002230235276575
TS6_5	F	Treat	nS	FnS	-0.00249029678087
TS7_1	F	Treat	cS	FcS	-0.002177377745967
TS7_2	F	Treat	cS	FcS	-0.001901822881234
TS7_3	F	Treat	cS	FcS	-0.001836308446913
TS7_4	F	Treat	cS	FcS	-0.002025273549991
TS7_5	F	Treat	cS	FcS	-0.001416885375756
TS8_1	F	Treat	bS	FbS	-0.000531258334519
TS8_2	F	Treat	bS	FbS	-0.002035362092726
TS8_3	F	Treat	bS	FbS	-0.002272332558313
TS8_4	F	Treat	bS	FbS	-0.002453593438439
TS8_5	F	Treat	bS	FbS	-0.002357863173874
